VisitID,VisitDateRaw,RepID,RepNameRaw,DoctorID,DoctorNameRaw,SpecialtyRaw,TerritoryRaw,DoctorClass,VisitStatus,Outcome,VisitType,SamplesGiven,FollowUpRequired,DurationMin
V0000001,2025-01-01,R001,Ahmed Hassan,D0024,Dr. Nour Wael,Internal,Shebin El-Kom,C,Completed,Not Available,Follow-up,2,No,18
V0000002,2025-01-01,R001,Ahmed Hassan,D0014,Dr. Nour Wael,Pedia,Shebin El-Kom,B,Cancelled,Not Applicable,Routine,0,No,0
V0000003,2025-01-01,R001,Ahmed Hassan,D0011,Dr. Mohamed Saad,Internal,Shebin El-Kom,A,Completed,Follow-up,Launch,1,No,12
V0000004,2025-01-01,R003,Karim Hany,D0064,Dr. Mahmoud Hassan,Gyna,Ashmoun,B,Completed,Interested,Educational,0,Yes,22
V0000005,2025-01-01,R003,Karim Hany,D0059,Dr. Rana Ali,Internal,Ashmoun,B,Rescheduled,Not Applicable,Follow-up,0,No,0
V0000006,2025-01-01,R003,Karim Hany,D0072,Dr. Rana Saad,Internal,Ashmoun,B,Completed,Follow-up,Follow-up,2,No,15
V0000007,2025-01-01,R003,Karim Hany,D0056,Dr. Sara Wael,Internal,Ashmoun,A,Completed,Follow-up,Routine,2,Yes,16
V0000008,2025-01-01,R004,Sara Mostafa,D0077,Dr. Mohamed Nabil,Pedia,Sadat City,A,Completed,Interested,Educational,1,Yes,22
V0000009,2025-01-01,R004,Sara Mostafa,D0075,Dr. Ahmed Hassan,Internal,Sadat City,A,Completed,Sample Accepted,Launch,0,No,25
V0000010,2025-01-01,R004,Sara Mostafa,D0082,Dr. Mohamed Fathy,GYNA,Sadat City,C,Completed,Sample Accepted,Follow-up,2,Yes,12
V0000011,01/01/2025,R004,Sara Mostafa,D0081,Dr. Mahmoud Tarek,Pedia,Sadat City,C,Completed,Not Available,Follow-up,0,No,16
V0000012,2025-01-01,R005,Mahmoud Tarek,D0124,Dr. Aya Saad,Internal,Tanta,C,Completed,Sample Accepted,Routine,1,No,22
V0000013,2025-01-01,R005,Mahmoud Tarek,D0125,Dr. Mahmoud Tarek,Internal,Tanta,B,Completed,No Interest,Follow-up,0,No,24
V0000014,2025-01-01,R005,Mahmoud Tarek,D0115,Dr. Mostafa Adel,Pedia,Tanta,B,Completed,Follow-up,Routine,1,No,15
V0000015,2025-01-01,R005,Mahmoud Tarek,D0123,Dr. Sara Saad,Internal,Tanta,B,Completed,Sample Accepted,Routine,1,No,28
V0000016,2025-01-01,R006,Nada Wael,D0139,Dr. Nour Tarek,Internal,El Mahalla El Kubra,B,Completed,Sample Accepted,Follow-up,0,Yes,14
V0000017,2025-01-01,R006,Nada Wael,D0149,Dr. Aya Ali,Gyna,El Mahalla El Kubra,B,Completed,Sample Accepted,Follow-up,2,Yes,21
V0000018,2025-01-01,R006,Nada Wael,D0155,Dr. Sara Fathy,Internal,El Mahalla El Kubra,C,Completed,Sample Accepted,Routine,0,Yes,11
V0000019,2025-01-01,R006,Nada Wael,D0145,Dr. Mariam Saad,Gyna,El Mahalla El Kubra,A,Completed,Interested,Educational,2,No,24
V0000020,2025-01-01,R007,Mostafa Adel,D0168,Dr. Ahmed Emad,Gyna,BENHA,A,Completed,Not Available,Routine,2,No,12
V0000021,2025-01-01,R007,Mostafa Adel,D0178,Dr. Nour Ali,Gyna,Benha,B,Completed,Interested,Educational,0,Yes,22
V0000022,2025-01-01,R007,Mostafa Adel,D0170,Dr. Mina Ali,Pediatrics,Benha,B,Rescheduled,Not Applicable,Launch,0,No,0
V0000023,2025-01-01,R007,Mostafa Adel,D0175,Dr. Sara Saad,Pedia,Benha,B,Completed,Sample Accepted,Launch,1,No,21
V0000024,2025-01-01,R008,Yara Emad,D0193,Dr. Mina Hassan,Gyna,Shubra El Kheima,B,Completed,Interested,Launch,2,No,15
V0000025,2025-01-01,R008,Yara Emad,D0185,Dr. Nour Nabil,Pedia,Shubra El Kheima,B,Completed,Interested,Follow-up,1,No,14
V0000026,2025-01-01,R008,Yara Emad,D0214,Dr. Sara Adel,Internal,Shubra El Kheima,A,Completed,Not Available,Launch,2,No,5
V0000027,2025-01-01,R008,Yara Emad,D0207,Dr. Ahmed Adel,Internal,Shubra El Kheima,C,Completed,Interested,Routine,1,No,11
V0000028,2025-01-01,R010,Rana Ashraf,D0247,Dr. Aya Nabil,Internal,Maadi,B,Completed,Sample Accepted,Launch,1,No,20
V0000029,2025-01-01,R010,Rana Ashraf,D0264,Dr. Mina Wael,Pediatrics,Maadi,A,Completed,Interested,Routine,2,Yes,19
